측정 시간,DNS 서버,도메인,평균 응답 시간(ms)
2025-07-24 18:23:08,Google,ticket.melon.com,69.83
2025-07-24 18:23:08,KT,ticket.melon.com,5.41
2025-07-24 18:23:08,SKB,ticket.melon.com,4.06
2025-07-24 18:23:08,LGU+,ticket.melon.com,7.28
2025-07-24 18:23:08,KISA,ticket.melon.com,6.54
2025-07-24 18:24:41,Google,ticket.melon.com,52.64
2025-07-24 18:24:41,KT,ticket.melon.com,8.1
2025-07-24 18:24:41,SKB,ticket.melon.com,8.16
2025-07-24 18:24:41,LGU+,ticket.melon.com,7.48
2025-07-24 18:24:41,KISA,ticket.melon.com,6.8
2025-07-24 18:34:16,Google,ticket.melon.com,42.99
2025-07-24 18:34:16,KT,ticket.melon.com,4.27
2025-07-24 18:34:16,SKB,ticket.melon.com,3.5
2025-07-24 18:34:16,LGU+,ticket.melon.com,10.08
2025-07-24 18:34:16,KISA,ticket.melon.com,5.49
2025-07-24 18:35:28,Google,ticket.melon.com,81.33
2025-07-24 18:35:28,KT,ticket.melon.com,5.46
2025-07-24 18:35:28,SKB,ticket.melon.com,12.02
2025-07-24 18:35:28,LGU+,ticket.melon.com,6.82
2025-07-24 18:35:28,KISA,ticket.melon.com,5.28
2025-08-04 19:34:47,Google,ticket.melon.com,61.53
2025-08-04 19:34:47,KT,ticket.melon.com,4.99
2025-08-04 19:34:47,SKB,ticket.melon.com,4.93
2025-08-04 19:34:47,LGU+,ticket.melon.com,5.81
2025-08-04 19:34:47,KISA,ticket.melon.com,5.26
2025-08-12 15:37:03,Google,ticket.melon.com,67.61
2025-08-12 15:37:03,KT,ticket.melon.com,5.01
2025-08-12 15:37:03,SKB,ticket.melon.com,4.34
2025-08-12 15:37:03,LGU+,ticket.melon.com,6.0
2025-08-12 15:37:03,KISA,ticket.melon.com,4.64
2025-08-12 15:37:18,Google,ticket.melon.com,72.39
2025-08-12 15:37:18,KT,ticket.melon.com,6.47
2025-08-12 15:37:18,SKB,ticket.melon.com,4.72
2025-08-12 15:37:18,LGU+,ticket.melon.com,5.39
2025-08-12 15:37:18,KISA,ticket.melon.com,4.38
2025-08-17 22:10:03,Google,google.com,114.91
2025-08-17 22:10:03,KT,google.com,10.91
2025-08-17 22:10:03,SKB,google.com,9.95
2025-08-17 22:10:03,LGU+,google.com,12.02
2025-08-17 22:10:03,KISA,google.com,10.15
2025-08-17 22:14:33,Google,google.com,63.19
